Opponent,Match,Innings,Runs,Balls,Outs,SR,50,100,4s,6s,Dot %,Score,Next_Score,Stadium,Year,Is_Home_Match
Rajasthan Royals,ipl2012_30,1,16,16,1,100,0,0,2,0,50,28,30.47,Sawai Mansingh Stadium,2012,0
Kolkata Knight Riders,ipl2012_38,2,18,19,1,94.7,0,0,3,0,57.9,30.47,62.71,Eden Gardens,2012,0
Kings 11 Punjab,ipl2012_44,1,45,42,1,107.1,0,0,3,2,40.5,62.71,20,M.Chinnaswamy Stadium,2012,1
Sunrisers Hyderabad,ipl2012_50,2,9,9,1,100,0,0,1,0,44.4,20,55.4,M.Chinnaswamy Stadium,2012,1
Mumbai Indians,ipl2012_54,2,36,25,0,144,0,0,1,2,12,55.4,17.5,Wankhede Stadium,2012,0
Rising Pune Supergiant,ipl2012_57,1,9,12,1,75,0,0,1,0,50,17.5,33,"Maharashtra Cricket Association Stadium, Pune",2012,0
Mumbai Indians,ipl2012_62,1,3,1,1,300,0,0,0,0,0,33,97.77,M.Chinnaswamy Stadium,2012,1
Delhi Capitals,ipl2012_67,1,73,53,0,137.7,1,0,9,1,28.3,97.77,60.5,Arun Jaitley Stadium,2012,0
Sunrisers Hyderabad,ipl2012_71,2,42,40,1,105,0,0,2,3,50,60.5,47.14,Rajiv Gandhi International Stadium,2012,0
Mumbai Indians,ipl2013_02,1,24,14,1,171.4,0,0,4,1,50,47.14,63.45,M.Chinnaswamy Stadium,2013,1
Sunrisers Hyderabad,ipl2013_07,1,46,44,1,104.5,0,0,5,1,45.5,63.45,131.79,Rajiv Gandhi International Stadium,2013,0
Sunrisers Hyderabad,ipl2013_09,2,93,47,0,197.9,1,0,11,4,25.5,131.79,55.96,M.Chinnaswamy Stadium,2013,1
Kolkata Knight Riders,ipl2013_12,2,35,27,1,129.6,0,0,4,2,51.9,55.96,76.34,M.Chinnaswamy Stadium,2013,1
Chennai Super Kings,ipl2013_16,1,58,47,1,123.4,1,0,2,2,29.8,76.34,87,MA Chidambaram Stadium,2013,0
Delhi Capitals,ipl2013_21,2,65,50,1,130,1,0,7,1,36,87,3.5,M.Chinnaswamy Stadium,2013,1
Rajasthan Royals,ipl2013_27,2,1,4,1,25,0,0,0,0,75,3.5,25.22,M.Chinnaswamy Stadium,2013,1
Rising Pune Supergiant,ipl2013_31,1,11,9,1,122.2,0,0,0,1,33.3,25.22,3.5,M.Chinnaswamy Stadium,2013,1
Mumbai Indians,ipl2013_37,2,1,4,1,25,0,0,0,0,75,3.5,44.14,Wankhede Stadium,2013,0
Rajasthan Royals,ipl2013_40,1,32,35,1,91.4,0,0,3,0,42.9,44.14,41.89,Sawai Mansingh Stadium,2013,0
Rising Pune Supergiant,ipl2013_46,1,25,18,1,138.9,0,0,3,0,16.7,41.89,25,"Maharashtra Cricket Association Stadium, Pune",2013,0
Kings 11 Punjab,ipl2013_51,1,14,14,1,100,0,0,1,0,35.7,25,134.07,Punjab Cricket Association IS Bindra Stadium,2013,0
Delhi Capitals,ipl2013_57,1,99,58,1,170.7,1,0,10,4,24.1,134.07,31.14,Arun Jaitley Stadium,2013,0
Kolkata Knight Riders,ipl2013_60,1,17,14,1,121.4,0,0,2,0,35.7,31.14,80.26,"JSCA International Stadium Complex, Ranchi",2013,0
Kings 11 Punjab,ipl2013_63,1,57,43,1,132.6,1,0,6,2,37.2,80.26,89.31,M.Chinnaswamy Stadium,2013,1
Chennai Super Kings,ipl2013_70,1,56,29,0,193.1,1,0,6,4,41.4,89.31,69.89,M.Chinnaswamy Stadium,2013,1
Delhi Capitals,ipl2014_02,2,49,38,0,128.9,0,0,2,3,31.6,69.89,0,"Sharjah Cricket Stadium, Sharjah",2014,0
Mumbai Indians,ipl2014_05,2,0,2,1,0,0,0,0,0,100,0,48.48,"Dubai International Cricket Stadium, Dubai",2014,0
Kolkata Knight Riders,ipl2014_11,2,31,23,1,134.8,0,0,4,0,30.4,48.48,32.4,"Sharjah Cricket Stadium, Sharjah",2014,0
Rajasthan Royals,ipl2014_14,1,21,25,1,84,0,0,3,0,52,32.4,25,"Sheikh Zayed Stadium, Abu Dhabi",2014,0
Kings 11 Punjab,ipl2014_18,1,4,2,1,200,0,0,1,0,50,25,0,"Dubai International Cricket Stadium, Dubai",2014,0
Mumbai Indians,ipl2014_24,2,0,5,1,0,0,0,0,0,100,0,53.5,Wankhede Stadium,2014,0
Sunrisers Hyderabad,ipl2014_27,2,35,28,1,125,0,0,2,2,39.3,53.5,0,M.Chinnaswamy Stadium,2014,1
Kings 11 Punjab,ipl2014_31,2,0,1,1,0,0,0,0,0,100,0,9.44,M.Chinnaswamy Stadium,2014,1
Rajasthan Royals,ipl2014_35,1,4,9,1,44.4,0,0,1,0,88.9,9.44,19.09,M.Chinnaswamy Stadium,2014,1
Delhi Capitals,ipl2014_38,1,10,11,1,90.9,0,0,0,0,27.3,19.09,39.31,M.Chinnaswamy Stadium,2014,1
Chennai Super Kings,ipl2014_42,2,27,29,1,93.1,0,0,1,1,41.4,39.31,95.34,"JSCA International Stadium Complex, Ranchi",2014,0
Sunrisers Hyderabad,ipl2014_46,1,67,41,1,163.4,1,0,4,4,22,95.34,55.26,Rajiv Gandhi International Stadium,2014,0
Kolkata Knight Riders,ipl2014_49,2,38,31,1,122.6,0,0,3,1,29,55.26,99.9,Eden Gardens,2014,0
Chennai Super Kings,ipl2014_53,1,73,49,1,149,1,0,2,5,28.6,99.9,23.67,M.Chinnaswamy Stadium,2014,1
Kolkata Knight Riders,ipl2015_05,2,13,15,1,86.7,0,0,0,1,60,23.67,60.08,Eden Gardens,2015,0
Sunrisers Hyderabad,ipl2015_08,1,41,37,1,110.8,0,0,4,2,51.4,60.08,31,M.Chinnaswamy Stadium,2015,1
Mumbai Indians,ipl2015_17,2,18,18,1,100,0,0,1,1,50,31,71.14,M.Chinnaswamy Stadium,2015,1
Chennai Super Kings,ipl2015_21,2,51,42,1,121.4,1,0,4,2,38.1,71.14,82.48,M.Chinnaswamy Stadium,2015,1
Rajasthan Royals,ipl2015_23,2,62,46,0,134.8,1,0,1,3,19.6,82.48,56.22,"Narendra Modi Stadium, Ahmedabad",2015,0
Delhi Capitals,ipl2015_27,2,35,23,0,152.2,0,0,6,0,26.1,56.22,3.5,Arun Jaitley Stadium,2015,0
Rajasthan Royals,ipl2015_30,1,1,4,1,25,0,0,0,0,75,3.5,59,M.Chinnaswamy Stadium,2015,1
Kolkata Knight Riders,ipl2015_34,2,34,20,1,170,0,0,2,3,35,59,62.91,M.Chinnaswamy Stadium,2015,1
Chennai Super Kings,ipl2015_38,2,48,44,1,109.1,0,0,2,1,38.6,62.91,47.67,MA Chidambaram Stadium,2015,0
Kings 11 Punjab,ipl2015_41,1,32,30,1,106.7,0,0,3,1,43.3,47.67,112.4,M.Chinnaswamy Stadium,2015,1
Mumbai Indians,ipl2015_46,1,82,50,0,164,1,0,6,4,20,112.4,44.11,Wankhede Stadium,2015,0
Kings 11 Punjab,ipl2015_50,2,19,9,1,211.1,0,0,2,1,33.3,44.11,76.16,Punjab Cricket Association IS Bindra Stadium,2015,0
Sunrisers Hyderabad,ipl2015_52,2,44,19,0,231.6,0,0,3,3,21.1,76.16,6,Rajiv Gandhi International Stadium,2015,0
Delhi Capitals,ipl2015_55,2,1,2,0,50,0,0,0,0,50,6,18.67,M.Chinnaswamy Stadium,2015,1
Rajasthan Royals,ipl2015_58,2,12,18,1,66.7,0,0,0,0,44.4,18.67,28.33,"Maharashtra Cricket Association Stadium, Pune",2015,0
Chennai Super Kings,ipl2015_59,1,12,9,1,133.3,0,0,1,1,55.6,28.33,102.71,"JSCA International Stadium Complex, Ranchi",2015,0
Sunrisers Hyderabad,ipl2016_04,1,75,51,1,147.1,1,0,7,3,33.3,102.71,108.46,M.Chinnaswamy Stadium,2016,1
Delhi Capitals,ipl2016_11,1,79,48,1,164.6,1,0,7,3,16.7,108.46,47,M.Chinnaswamy Stadium,2016,1
Mumbai Indians,ipl2016_14,1,33,30,1,110,0,0,3,0,30,47,103.7,Wankhede Stadium,2016,0
Rising Pune Supergiant,ipl2016_16,1,80,63,1,127,1,0,7,2,27,103.7,128.87,"Maharashtra Cricket Association Stadium, Pune",2016,0
Gujarat Lions,ipl2016_19,1,100,63,0,158.7,0,1,11,1,17.5,128.87,23.24,"Niranjan Shah Stadium, Rajkot",2016,0
Sunrisers Hyderabad,ipl2016_27,2,14,17,1,82.4,0,0,1,0,35.3,23.24,67.82,Rajiv Gandhi International Stadium,2016,0
Kolkata Knight Riders,ipl2016_30,1,52,44,1,118.2,1,0,4,0,22.7,67.82,148.62,M.Chinnaswamy Stadium,2016,1
Rising Pune Supergiant,ipl2016_35,2,108,58,0,186.2,0,1,8,7,22.4,148.62,31.52,M.Chinnaswamy Stadium,2016,1
Kings 11 Punjab,ipl2016_39,1,20,21,1,95.2,0,0,2,0,42.9,31.52,19,Punjab Cricket Association IS Bindra Stadium,2016,0
Mumbai Indians,ipl2016_41,1,7,7,1,100,0,0,0,1,71.4,19,150.82,M.Chinnaswamy Stadium,2016,1
Gujarat Lions,ipl2016_44,1,109,55,1,198.2,0,1,6,8,20,150.82,100.71,M.Chinnaswamy Stadium,2016,1
Kolkata Knight Riders,ipl2016_48,2,75,51,0,147.1,1,0,5,3,25.5,100.71,163.6,Eden Gardens,2016,0
Kings 11 Punjab,ipl2016_50,1,113,50,1,226,0,1,12,8,30,163.6,72,M.Chinnaswamy Stadium,2016,1
Delhi Capitals,ipl2016_56,2,54,45,0,120,1,0,6,0,26.7,72,0,"Shaheed Veer Narayan Singh International Stadium, Raipur",2016,0
